v8-version,4,6,85,31,0
code-creation,Handler,3,0x128d6802cec0,112,"An IC handler from the snapshot"
code-creation,Stub,11,0x128d6802cf40,232,"BinaryOpICStub"
code-creation,KeyedLoadIC,7,0x128d6802d040,393,"A keyed load IC from the snapshot"
code-creation,Stub,2,0x128d6802d1e0,796,"RecordWriteStub"
code-creation,Stub,11,0x128d6802d500,486,"BinaryOpICStub"
code-creation,Stub,2,0x128d6802d700,834,"FastNewContextStub"
code-creation,Handler,3,0x128d6802da60,272,"An IC handler from the snapshot"
code-creation,Stub,2,0x128d6802db80,590,"ArraySingleArgumentConstructorStub"
code-creation,Stub,2,0x128d6802dde0,234,"CallFunctionStub"
code-creation,Stub,11,0x128d6802dee0,296,"BinaryOpICStub"
code-creation,Handler,3,0x128d6802e020,112,"An IC handler from the snapshot"
code-creation,Stub,11,0x128d6802e0a0,332,"BinaryOpICStub"
code-creation,Stub,12,0x128d6802e200,173,"CompareICStub"
code-creation,Handler,3,0x128d6802e2c0,120,"An IC handler from the snapshot"
code-creation,Stub,2,0x128d6802e340,946,"StoreFastElementStub"
code-creation,Stub,2,0x128d6802e700,962,"StoreFastElementStub"
code-creation,Handler,3,0x128d6802eae0,120,"An IC handler from the snapshot"
code-creation,CallIC,8,0x128d6802eb60,628,"A call IC from the snapshot"
code-creation,Handler,3,0x128d6802ede0,112,"An IC handler from the snapshot"
code-creation,Handler,3,0x128d6802ee60,120,"An IC handler from the snapshot"
code-creation,Stub,2,0x128d6802eee0,502,"ArrayNArgumentsConstructorStub"
code-creation,Handler,3,0x128d6802f0e0,112,"An IC handler from the snapshot"
code-creation,Stub,11,0x128d6802f160,332,"BinaryOpICStub"
code-creation,Handler,3,0x128d6802f2c0,120,"An IC handler from the snapshot"
code-creation,Stub,14,0x128d6802f340,212,"ToBooleanStub"
code-creation,Stub,11,0x128d6802f420,152,"BinaryOpICStub"
code-creation,CallIC,8,0x128d6802f4c0,113,"A call IC from the snapshot"
code-creation,Stub,11,0x128d6802f540,152,"BinaryOpICStub"
code-creation,Stub,2,0x128d6802f5e0,566,"ArraySingleArgumentConstructorStub"
code-creation,Stub,11,0x128d6802f820,212,"BinaryOpICStub"
code-creation,Stub,2,0x128d6802f900,603,"ArrayConstructorStub"
code-creation,Handler,3,0x128d6802fb60,120,"An IC handler from the snapshot"
code-creation,Stub,11,0x128d6802fbe0,462,"BinaryOpICStub"
code-creation,Stub,2,0x128d6802fdc0,438,"FastNewContextStub"
code-creation,Stub,2,0x128d6802ff80,766,"FastNewClosureStub"
code-creation,Stub,2,0x128d68030280,336,"StoreFastElementStub"
code-creation,Handler,3,0x128d680303e0,272,"An IC handler from the snapshot"
code-creation,Handler,3,0x128d68030500,120,"An IC handler from the snapshot"
code-creation,Stub,2,0x128d68030580,510,"FastNewContextStub"
code-creation,Handler,3,0x128d68030780,220,"An IC handler from the snapshot"
code-creation,StoreIC,9,0x128d68030860,123,"A store IC from the snapshot"
code-creation,StoreIC,9,0x128d680308e0,123,"A store IC from the snapshot"
code-creation,StoreIC,9,0x128d68030960,123,"A store IC from the snapshot"
code-creation,StoreIC,9,0x128d680309e0,123,"A store IC from the snapshot"
code-creation,Builtin,4,0x128d68030a60,115,"Illegal"
code-creation,Builtin,4,0x128d68030ae0,569,"JSConstructStubGeneric"
code-creation,Builtin,4,0x128d68030d20,115,"RestrictedFunctionPropertiesThrower"
code-creation,Builtin,4,0x128d68030da0,115,"EmptyFunction"
code-creation,Builtin,4,0x128d68030e20,500,"StringConstructCode"
code-creation,Builtin,4,0x128d68031020,123,"ArrayCode"
code-creation,Builtin,4,0x128d680310a0,158,"CompileLazy"
code-creation,Builtin,4,0x128d68031140,115,"ArrayPush"
code-creation,Builtin,4,0x128d680311c0,115,"ArrayPop"
code-creation,Builtin,4,0x128d68031240,115,"ArrayShift"
code-creation,Builtin,4,0x128d680312c0,115,"ArrayUnshift"
code-creation,Builtin,4,0x128d68031340,115,"ArraySlice"
code-creation,Builtin,4,0x128d680313c0,115,"ArraySplice"
code-creation,Builtin,4,0x128d68031440,115,"ArrayConcat"
code-creation,Builtin,4,0x128d680314c0,120,"HandleApiCall"
code-creation,Builtin,4,0x128d68031540,120,"HandleApiCallConstruct"
code-creation,Builtin,4,0x128d680315c0,115,"HandleApiCallAsFunction"
code-creation,Builtin,4,0x128d68031640,115,"HandleApiCallAsConstructor"
